txid	host_txids	host_names	diseases
144752	48011;48012	Oecomys bicolor;Oecomys roberti	
1972683	7182;1285602	Psorophora;Ochlerotatus fulvus	
1972684	42427;7160	Culex erraticus;Aedes albopictus	
1972687	58253	Anopheles triannulatus	
1972685	7160;7166	Anopheles quadrimaculatus;Aedes albopictus	
318843	8493;10036;9796;9940;9606;7176;9322;9913;2058948;9342;8782	Aves;Mesocricetus auratus;Peramelidae;Equus caballus;Crocodylidae;Bos taurus;Cryptoblepharus virgatus;Homo sapiens;Culex quinquefasciatus;Ovis aries;Macropus sp.	
1176035	30538;9685	Felis catus;Vicugna pacos	
607716	746128	Aspergillus fumigatus	
284687	4751	Fungi	
2492658	59472	Pipistrellus kuhlii	
1945560	7160;9534;2912049	Chlorocebus aethiops;Culex sp.;Aedes albopictus	
1945561	325429;139055	Uranotaenia	
1945562	7160;562834	Culex nebulosus;Aedes albopictus	
10570	9544	Macaca mulatta	
333767	9606	Homo sapiens	
337043	9606	Homo sapiens	Viral wart
2170408	54292	Apodemus flavicollis	
1236391	9510	Ateles paniscus	
2721748	64677	Callosciurus erythraeus	
1891718	9397;270764	Chiroptera;Cardioderma cor	
1891719	60710	Chlorocebus pygerythrus	
1891729	10036	Mesocricetus auratus	
1891736	37012	Pan troglodytes verus	
1891737	37012	Pan troglodytes verus	
1606498	40230	Artibeus planirostris	
1891739	37010	Pan troglodytes schweinfurthii	
1891738	37012	Pan troglodytes verus	
1606500	27660	Sturnira lilium	
1606499	40230	Artibeus planirostris	
1891720	60710	Chlorocebus pygerythrus	
1891735	37012	Pan troglodytes verus	
2681607	28211	Alphaproteobacteria	
97469	7174	Culex	
2212477	125261	Alpinia oxyphylla	
2495433	9823;9403;9615;9606;9913;9534;9402;1562770	Pteropus alecto;Chlorocebus aethiops;Pteropus sp.;Bos taurus;Homo sapiens;Sus scrofa;Pteropus poliocephalus;Canis lupus familiaris	
260374	1231189	Alstroemeria pulchella	
693450	4100;3659;4072;4081;59035;227725	Solanum quitoense;Alstroemeria sp.;Solanum lycopersicum;Capsicum annuum;Cucumis sativus;Nicotiana benthamiana	
316983	3803;4210;3542;4180;56741;4070;4479;3563;3650;3629	Alstroemeria;Pedaliaceae;Cucurbitaceae;Asteraceae;Poaceae;Fabaceae;Malvaceae;Aizoaceae;Amaranthaceae;Solanaceae	
2212644	4097;35889;4100;4076;3906;3885;56741;35625;3917;415160;1642833;35939;200306;81866	Nicotiana occidentalis subsp. occidentalis;Emilia sonchifolia;Vicia faba;Impatiens;Vigna unguiculata;Nicotiana occidentalis subsp. hesperis;Nicotiana glutinosa;Datura stramonium;Phaseolus vulgaris;Nicotiana tabacum;Datura metel;Alstroemeria;Nicotiana clevelandii;Nicotiana benthamiana	
85454	103543	Phlox stolonifera	
447606	34245	Zinnia elegans	
337826	155013	Ludwigia hyssopifolia	
2066695	5599;580240	Saccharomyces cerevisiae W303;Alternaria alternata	
483537	5599	Alternaria alternata	
1826822	1122867	Alternaria arborescens EGS 39-128	
1728964	1122867	Alternaria arborescens EGS 39-128	
1580606	29001	Alternaria brassicicola	
1766767	29001	Alternaria brassicicola	
1532031	160389	Alternaria longipes	
2729541	1656094	Alteromonas confluentis	
1300004	1774373;1004787;1004786;1004785	Alteromonas macleodii str. 'Balearic Sea AD45';Alteromonas mediterranea DE;Alteromonas mediterranea DE1;Alteromonas macleodii str. 'Black Sea 11'	
1300005	1774373;1004787;1004786;1004785	Alteromonas macleodii str. 'Balearic Sea AD45';Alteromonas mediterranea DE;Alteromonas mediterranea DE1;Alteromonas macleodii str. 'Black Sea 11'	
1300006	1774373;1004787;1004786;1004785	Alteromonas macleodii str. 'Balearic Sea AD45';Alteromonas mediterranea DE;Alteromonas mediterranea DE1;Alteromonas macleodii str. 'Black Sea 11'	
1300007	1774373;1004787;1004786;1004785	Alteromonas macleodii str. 'Balearic Sea AD45';Alteromonas mediterranea DE;Alteromonas mediterranea DE1;Alteromonas macleodii str. 'Black Sea 11'	
